hi	مرحبًا
may i play the piano	أتسمح لي بالعزف على البيانو؟
may i play the piano	هل لي أن أعزف البيانو؟
may i use the toilet	أيمكنني الذهاب إلى الحمام؟
may i use your phone	أيمكنني استعمال هاتفك؟
maybe she wont come	من الممكن أن لا تأتي
most people think so	يعتقد الكثيرون ذلك
my family lives here	عائلتي تسكن هنا
my father is healthy	والدي في صحة جيدة
my fathers a doctor	أبي طبيب
my fathers a doctor	يعمل والدي طبيباً
my headache has gone	شفيت من الصداع
my home is your home	بيتي هو بيتك
my mother cant come	لن تسطيع أمي القدوم
my mother cant come	أمي لا يمكنها المجيء
my mother cant come	لا يمكن لأمي أن تأتي
nobody owns the moon	لا أحد يملك القمر
nobody spoke with me	لا احد يكلمني
pandas are beautiful	الباندا جميلة
people make mistakes	الناس يخطئون
please deal the card	من فضلك وزّع الورق
please help yourself	تفضّل البيت بيتك
please help yourself	تفضّل المكان مكانك
please say something	قُل شيئاً رجاءً
please shut the door	أغلق الباب من فضلك
please turn the page	من فضلك إقلب الصفحة
quick run after him	بسرعة ، إلحق به
raise your left hand	اِرفع يدك اليسرى
revenge can be sweet	بإمكان الانتقام أن يكون لذيذ الطّعم
shake hands with him	سلم عليه
she can speak french	بإمكانها تحدث الفرنسية
she is angry with me	إنها غاضبة معي
she is having dinner	إنها تتناول العشاء
she lives in comfort	إنها تعيش حياة مريحة
she lives in comfort	إنها تعيش في راحة
she lost her handbag	فقدت حقيبة يدها
she married a sailor	هىَ متزوجة من بحار
she raised her hands	لقد رَفَعَت يديها
she slapped his face	صفعته
she slapped his face	صفعته كفاً
she slapped his face	صفعته كفاً على وجهه
she was born in	هى ولدت في العام 1960
she wore a red dress	لبست فستاناً أحمراً
shes a quiet person	إنها هادئة
shouldnt we ask tom	أليس علينا سؤال توم؟
show me how it works	أرني كيف تعمل
show me the pictures	أرني الصّور
show me the pictures	أرني تلك الصّور
speak louder please	رجاء، ارفع صوتك
speak louder please	رجاء، تكلم بصوت أعلى
speak louder please	لطفاً، ارفع صوتك
sumatra is an island	صومطرة جزيرةٌ
take a look at these	ألق نظرة على هذه
take a look in there	ألق نظرة هناك
take another picture	التقط صورة أخرى
thank you for coming	شكرًا على قدومك
thanks for the drink	شكرا على الشراب
that car is very new	تلك السيارة حقاً جديدة
that changes nothing	هذا لا يغير شيء
that meat is chicken	ذلك اللحم لحم دجاج
thats an order tom	هذا أمر يا توم
thats extraordinary	ذلك خارق للعادة
thats his specialty	هذا تخصصه
thats how i grew up	هكذا نشأتتربيت
thats my dictionary	ذاك قاموسي
thats pretty normal	هذا طبيعي نوعا ما
the boy began to cry	أخذ الولد يبكي
the boy came running	أتى الولد راكضاً
the clock is ticking	الساعة تُتكتك 
the ground seems wet	تبدو الأرض مبلولة
the house is burning	المنزل يحترق
the house is haunted	البيت مسكون
the house is haunted	البيت مسكون بالأشباح
the house went cheap	بِيع المنزل بثمن بخس
the house went cheap	بيع المنزل بثمن رخيص
the maid made my bed	رتبت الخادمة سريري
the rain has stopped	توقّف المطر
the rumor isnt true	تلك الإشاعة ليست صحيحة
the students laughed	ضحك الطلاب
the woman is reading	المرأة تقرأ
there isnt any hope	لا يوجد أي أمل
there isnt any soap	ليس هناك أي صابون
there isnt any soap	لم يعد هناك أي صابون
there were three men	كان هنالك ثلاثة رجال
these are all i have	هؤلاء كل ما لدي
these are my pencils	هذه أقلامي
these shoes are hers	ذلك حذاءها
they are my brothers	هم إخوتي
they have lost a lot	لقد خسروا الكثير
they lost the battle	خسروا المعركة
they lost the battle	خسروا الحرب
they wont intervene	هم لن يتدخلوا
theyre all tourists	جميعهم سياح 
theyre not here yet	ليسوا هنا حتى الآن
this bicycle is mine	هذه دراجتي
this bicycle is mine	تلك الدراجة دراجتي
this bird cannot fly	هذا الطائر لا يمكنه الطيران
this bird cannot fly	هذا الطائر لا يمكنه التحليق
this car is like new	هذه السيارة تبدو كالجديدة
this is a small book	هذا كتاب صغير
this is our land now	باتت هذه أرضنا الآن
this one is prettier	هذا أجمل
this pen has run dry	جفّ هذا القلم
this pen has run dry	جفّ القلم
this watch is broken	هذه الساعة مكسورة
this will cost	سيكلفك ذلك ثلاثين يورو
this will cost	الحساب ثلاثون يورو
those books are mine	هذه كتبي
tom broke the window	كسر توم زجاج النافذة
tom didnt fire mary	توم لم يطرد ماري
tom drank some water	شرب توم بعض الماء
tom gave me an apple	أعطاني توم تفاحة
tom has a job	لدى سامر برانامج عمل من 9 إلى 5
tom has a nice smile	لتوم إبتسامة جميلة
tom is a good person	توم شخص جيد
tom is a good reader	توم قارئ جيد
tom is an only child	توم وحيد لأهله
tom is angry at mary	توم غاضب على مارى
tom is drinking milk	يشرب توم الحليب
tom is grilling meat	يشوي توم اللحم
tom isnt lonely now	توم ليس وحيداً الآن
tom isnt very happy	توم ليس سعيداً جداً
tom knows i like him	توم يعرف أنني أوده
tom lost their trust	توم خَسِرَ ثِقَتَهُم
tom needs some water	يحتاج توم لبعض الماء
tom rose to his feet	نهض توم على قدميه
tom saw mary do that	توم رأى ماري تقوم بذلك
tom still isnt here	توم مازال غير موجود هنا
tom tried to kill me	حاول توم قتلي
tom tried to kill me	حاول توم أن يقتلني
tom tried to kill us	حاول توم قتلنا
tom tried to stop it	حاول توم إيقافها
tom wants to meet me	يريد توم اللقاء بي
tom wont let you go	لن يتخلى عنك توم
was it an earthquake	هل كان ذلك زلزالا؟
was it an inside job	هل كان ذلك عمليّة داخليّة؟
we all make mistakes	كلنا نخطئ
we are not americans	نحن لسنا أمريكيين
we cant forget that	لا نستطيع نسيان ذلك
we didnt believe it	لم نصدق ذلك
we have an emergency	لدينا حالة طارئة
we love our children	نحن نحب أولادنا
we require your help	نحتاج إلى مساعدتك
well do it tomorrow	نحن سنفعل ذلك غداً
were being attacked	لقد هوجمنا
were soccer players	نحن لاعبون كره القدم
were you with anyone	أكنت مع أحد؟
were you with anyone	أكنت مع أحدهم؟
what i did was wrong	ما فعلته أنا كان خاطئاً
what a nice surprise	يا لها من مفاجأة جميلة
what are you cooking	ماذا تطبخ؟
what are you reading	ماذا تقرأ
what do you want now	ماذا تريد الآن؟
what do you want now	ما الذي تريده الآن؟
what do you wish for	ماذا تتمنى؟
what does it contain	على ماذا يحتوي؟
what happened to him	ما الذي حصل له؟
what is your address	ما عنوانك؟
what made her so sad	ما الذي أحزنها هكذا؟
whatre you drinking	ماذا تشرب ؟
whats tom doing now	ماذا يفعل الآن توم؟
whats going on here	ما الذي يحدث هنا؟
whats going on here	ماذا يحدث هنا؟
whats that building	ما هذا المبنى؟
when did you see her	متى قابلتها؟
where are my glasses	أين نظارتي؟
where are the others	أين الآخرين؟
where are they going	أين هم ذاهبون؟
where are they going	إلى أين هم ذاهبون؟
where are you off to	إلى أين أنتم ذاهبون؟
where can i buy silk	أين يمكنني أن أشتري الحرير؟
where is the laundry	أين الغسيل؟
where is the laundry	أين الملابس التي تحتاج إلى غسل؟
where is the mailbox	أين صندوق البريد؟
where is the mistake	أين الخطأ؟
where is the problem	أين المشكلة؟
where is the station	أين المحطة؟
where is your father	أين والدك؟
where is your father	أين أبوك؟
where is your school	أين مدرستك؟
wheres the pharmacy	أين الصيدلية؟
which book is better	أي كتاب أفضل؟
which diet is better	أي حمية أفضل؟
who are those people	من هؤلاء الأشخاص؟
who are those people	من هؤلاء ؟
who coaches the team	من يدرب الفريق؟
who wrote the letter	من كتب الرسالة؟
whos coming with me	من سيأتي معي؟
why are you standing	لم أنت واقف؟
why did you say that	لم قلت ذلك؟
why do you know that	لماذا تعلم ذلك؟
why do you work here	لمَ تعمل هنا؟
why dont we go home	لماذا لا نذهب إلى البيت؟
